match_number,group,stadium,date_dt,team 1,team 2
Match 1,Group A,Mexico City Stadium,11-06-2026,Mexico,South Africa
Match 2,Group A,Estadio Guadalajara,11-06-2026,Korea Republic,Czechia/Denmark/North Macedonia/Republic of Ireland
Match 3,Group B,Toronto Stadium,12-06-2026,Canada,Bosnia and Herzegovina/Italy/Northern Ireland/Wales
Match 4,Group D,Los Angeles Stadium,12-06-2026,USA,Paraguay
Match 5,Group C,Boston Stadium,13-06-2026,Haiti,Scotland
Match 6,Group D,BC Place Vancouver,13-06-2026,Australia,Kosovo/Romania/Slovakia/Türkiye
Match 7,Group C,New York New Jersey Stadium,13-06-2026,Brazil,Morocco
Match 8,Group B,San Francisco Bay Area Stadium,13-06-2026,Qatar,Switzerland
Match 9,Group E,Philadelphia Stadium,14-06-2026,Côte d'Ivoire,Ecuador
Match 10,Group E,Houston Stadium,14-06-2026,Germany,Curaçao
Match 11,Group F,Dallas Stadium,14-06-2026,Netherlands,Japan
Match 12,Group F,Estadio Monterrey,14-06-2026,Albania/Poland/Sweden/Ukraine,Tunisia
Match 13,Group H,Miami Stadium,15-06-2026,Saudi Arabia,Uruguay
Match 14,Group H,Atlanta Stadium,15-06-2026,Spain,Cabo Verde
Match 15,Group G,Los Angeles Stadium,15-06-2026,IR Iran,New Zealand
Match 16,Group G,Seattle Stadium,15-06-2026,Belgium,Egypt
Match 17,Group I,New York New Jersey Stadium,16-06-2026,France,Senegal
Match 18,Group I,Boston Stadium,16-06-2026,Bolivia/Iraq/Suriname,Norway
Match 19,Group J,Kansas City Stadium,16-06-2026,Argentina,Algeria
Match 20,Group J,San Francisco Bay Area Stadium,16-06-2026,Austria,Jordan
Match 21,Group L,Toronto Stadium,17-06-2026,Ghana,Panama
Match 22,Group L,Dallas Stadium,17-06-2026,England,Croatia
Match 23,Group K,Houston Stadium,17-06-2026,Portugal,Congo DR/Jamaica/New Caledonia
Match 24,Group K,Mexico City Stadium,17-06-2026,Uzbekistan,Colombia
Match 25,Group A,Atlanta Stadium,18-06-2026,Czechia/Denmark/North Macedonia/Republic of Ireland,South Africa
Match 26,Group B,Los Angeles Stadium,18-06-2026,Switzerland,Bosnia and Herzegovina/Italy/Northern Ireland/Wales
Match 27,Group B,BC Place Vancouver,18-06-2026,Canada,Qatar
Match 28,Group A,Estadio Guadalajara,18-06-2026,Mexico,Korea Republic
Match 29,Group C,Philadelphia Stadium,19-06-2026,Brazil,Haiti
Match 30,Group C,Boston Stadium,19-06-2026,Scotland,Morocco
Match 31,Group D,San Francisco Bay Area Stadium,19-06-2026,Kosovo/Romania/Slovakia/Türkiye,Paraguay
Match 32,Group D,Seattle Stadium,19-06-2026,USA,Australia
Match 33,Group E,Toronto Stadium,20-06-2026,Germany,Côte d'Ivoire
Match 34,Group E,Kansas City Stadium,20-06-2026,Ecuador,Curaçao
Match 35,Group F,Houston Stadium,20-06-2026,Netherlands,Albania/Poland/Sweden/Ukraine
Match 36,Group F,Estadio Monterrey,20-06-2026,Tunisia,Japan
Match 37,Group H,Miami Stadium,21-06-2026,Uruguay,Cabo Verde
Match 38,Group H,Atlanta Stadium,21-06-2026,Spain,Saudi Arabia
Match 39,Group G,Los Angeles Stadium,21-06-2026,Belgium,IR Iran
Match 40,Group G,BC Place Vancouver,21-06-2026,New Zealand,Egypt
Match 41,Group I,New York New Jersey Stadium,22-06-2026,Norway,Senegal
Match 42,Group I,Philadelphia Stadium,22-06-2026,France,Bolivia/Iraq/Suriname
Match 43,Group J,Dallas Stadium,22-06-2026,Argentina,Austria
Match 44,Group J,San Francisco Bay Area Stadium,22-06-2026,Jordan,Algeria
Match 45,Group L,Boston Stadium,23-06-2026,England,Ghana
Match 46,Group L,Toronto Stadium,23-06-2026,Panama,Croatia
Match 47,Group K,Houston Stadium,23-06-2026,Portugal,Uzbekistan
Match 48,Group K,Estadio Guadalajara,23-06-2026,Colombia,Congo DR/Jamaica/New Caledonia
Match 49,Group C,Miami Stadium,24-06-2026,Scotland,Brazil
Match 50,Group C,Atlanta Stadium,24-06-2026,Morocco,Haiti
Match 51,Group B,BC Place Vancouver,24-06-2026,Switzerland,Canada
Match 52,Group B,Seattle Stadium,24-06-2026,Bosnia and Herzegovina/Italy/Northern Ireland/Wales,Qatar
Match 53,Group A,Mexico City Stadium,24-06-2026,Czechia/Denmark/North Macedonia/Republic of Ireland,Mexico
Match 54,Group A,Estadio Monterrey,24-06-2026,South Africa,Korea Republic
Match 55,Group E,Philadelphia Stadium,25-06-2026,Curaçao,Côte d'Ivoire
Match 56,Group E,New York New Jersey Stadium,25-06-2026,Ecuador,Germany
Match 57,Group F,Dallas Stadium,25-06-2026,Japan,Albania/Poland/Sweden/Ukraine
Match 58,Group F,Kansas City Stadium,25-06-2026,Tunisia,Netherlands
Match 59,Group D,Los Angeles Stadium,25-06-2026,Kosovo/Romania/Slovakia/Türkiye,USA
Match 60,Group D,San Francisco Bay Area Stadium,25-06-2026,Paraguay,Australia
Match 61,Group I,Boston Stadium,26-06-2026,Norway,France
Match 62,Group I,Toronto Stadium,26-06-2026,Senegal,Bolivia/Iraq/Suriname
Match 63,Group G,Seattle Stadium,26-06-2026,Egypt,IR Iran
Match 64,Group G,BC Place Vancouver,26-06-2026,New Zealand,Belgium
Match 65,Group H,Houston Stadium,26-06-2026,Cabo Verde,Saudi Arabia
Match 66,Group H,Estadio Guadalajara,26-06-2026,Uruguay,Spain
Match 67,Group L,New York New Jersey Stadium,27-06-2026,Panama,England
Match 68,Group L,Philadelphia Stadium,27-06-2026,Croatia,Ghana
Match 69,Group J,Kansas City Stadium,27-06-2026,Algeria,Austria
Match 70,Group J,Dallas Stadium,27-06-2026,Jordan,Argentina
Match 71,Group K,Miami Stadium,27-06-2026,Colombia,Portugal
Match 72,Group K,Atlanta Stadium,27-06-2026,Congo DR/Jamaica/New Caledonia,Uzbekistan
Match 73,,Los Angeles Stadium,28-06-2026,Group A runners-up,Group B runners-up
Match 74,,Boston Stadium,29-06-2026,Group E winners,Group A/B/C/D/F third place
Match 75,,Estadio Monterrey,29-06-2026,Group F winners,Group C runners-up
Match 76,,Houston Stadium,29-06-2026,Group C winners,Group F runners-up
Match 77,,New York New Jersey Stadium,30-06-2026,Group I winners,Group C/D/F/G/H third place
Match 78,,Dallas Stadium,30-06-2026,Group E runners up,Group I runners-up
Match 79,,Mexico City Stadium,30-06-2026,Group A winners,Group C/E/F/H/I third place
Match 80,,Atlanta Stadium,01-07-2026,Group L winners,Group E/H/I/J/K third place
Match 81,,San Francisco Bay Area Stadium,01-07-2026,Group D winners,Group B/E/F/I/J third place
Match 82,,Seattle Stadium,01-07-2026,Group G winners,Group A/E/H/I/J third place
Match 83,,Toronto Stadium,02-07-2026,Group K runners-up,Group L runners-up
Match 84,,Los Angeles Stadium,02-07-2026,Group H winners,Group J runners-up
Match 85,,BC Place Vancouver,02-07-2026,Group B winners,Group E/F/G/I/J third place
Match 86,,Miami Stadium,03-07-2026,Group J winners,Group H runners-up
Match 87,,Kansas City Stadium,03-07-2026,Group K winners,Group D/E/I/J/L third place
Match 88,,Dallas Stadium,03-07-2026,Group D runners-up,Group G runners-up
Match 89,,Philadelphia Stadium,04-07-2026,Winner match 74,Winner match 77
Match 90,,Houston Stadium,04-07-2026,Winner match 73,Winner match 75
Match 91,,New York New Jersey Stadium,05-07-2026,Winner match 76,Winner match 78
Match 92,,Mexico City Stadium,05-07-2026,Winner match 79,Winner match 80
Match 93,,Dallas Stadium,06-07-2026,Winner match 83,Winner match 84
Match 94,,Seattle Stadium,06-07-2026,Winner match 81,Winner match 82
Match 95,,Atlanta Stadium,07-07-2026,Winner match 86,Winner match 88
Match 96,,BC Place Vancouver,07-07-2026,Winner match 85,Winner match 87
Match 97,,Boston Stadium,09-07-2026,Winner match 89,Winner match 90
Match 98,,Los Angeles Stadium,10-07-2026,Winner match 93,Winner match 94
Match 99,,Miami Stadium,11-07-2026,Winner match 91,Winner match 92
Match 100,,Kansas City Stadium,11-07-2026,Winner match 95,Winner match 96
Match 101,,Dallas Stadium,14-07-2026,Winner match 97,Winner match 98
Match 102,,Atlanta Stadium,15-07-2026,Winner match 99,Winner match 100
Match 103,,Miami Stadium,18-07-2026,Runner-up match 101,Runner-up match 102
Match 104,,New York New Jersey Stadium,19-07-2026,Winner match 101,Winner match 102
